id_wind_s,nilai_wind_s
WS1,0
WS2,0
WS3,0
WS4,0
WS5,0
WS6,0
WS7,0
WS8,0
WS9,0
WS10,0
WS11,0
WS12,0
WS13,0
WS14,0
WS15,0
WS16,0
WS17,0
WS18,0
WS19,0
WS20,0
WS21,0
WS22,0
WS23,0
WS24,0
WS25,0
WS26,0
WS27,0
WS28,0
WS29,0
WS30,0
WS31,0
WS32,0
WS33,0
WS34,0
WS35,0
WS36,0
WS37,0
WS38,0
WS39,0
WS40,0
WS41,0
WS42,0
WS43,0
WS44,0
WS45,0
WS46,0
WS47,0
WS48,0
WS49,0
WS50,0
WS51,0
WS52,0
WS53,0
WS54,0
WS55,0
WS56,0
WS57,0
WS58,0
WS59,0
WS60,0
WS61,0
WS62,0
WS63,0
WS64,0
WS65,0
WS66,0
WS67,0
WS68,0
WS69,0
WS70,0
WS71,0
WS72,0
WS73,0
WS74,0
WS75,0
WS76,0
WS77,0
WS78,0
WS79,0
WS80,0
WS81,0
WS82,0
WS83,0
WS84,0
WS85,0
WS86,0
WS87,0
WS88,0
WS89,0
WS90,0
WS91,0
WS92,0
WS93,0
WS94,0
WS95,0
WS96,0
WS97,0
WS98,0
WS99,0
WS100,0
WS101,0
WS102,0
WS103,0
WS104,0
WS105,0
WS106,0
WS107,0
WS108,0
WS109,0
WS110,0
WS111,0
WS112,0
WS113,0
WS114,0
WS115,0
WS116,0
WS117,0
WS118,0
WS119,0
WS120,0
WS121,0
WS122,0
WS123,0
WS124,0
WS125,0
WS126,0
WS127,0
WS128,0
WS129,0
WS130,0
WS131,0
WS132,0
WS133,0
WS134,0
WS135,0
WS136,0
WS137,0
WS138,0
WS139,0
WS140,0
WS141,0
WS142,0
WS143,0
WS144,0
WS145,0
WS146,0
WS147,0
WS148,0
WS149,0
WS150,0
WS151,0
WS152,0
WS153,0
WS154,0
WS155,0
WS156,0
WS157,0
WS158,0
WS159,0
WS160,0
WS161,0
WS162,0
WS163,0
WS164,0
WS165,0
WS166,0
WS167,0
WS168,0
WS169,0
WS170,0
WS171,0
WS172,0
WS173,0
WS174,0
WS175,0
WS176,0
WS177,0
WS178,0
WS179,0
WS180,0
WS181,0
WS182,0
WS183,0
WS184,0
WS185,0
WS186,0
WS187,0
WS188,0
WS189,0
WS190,0
WS191,0
WS192,0
WS193,0
WS194,0
WS195,0
WS196,0
WS197,0
WS198,0
WS199,0
WS200,0
WS201,0
WS202,0
WS203,0
WS204,0
WS205,0
WS206,0
WS207,0
WS208,0
WS209,0
WS210,0
WS211,0
WS212,0
WS213,0
WS214,0
WS215,0
WS216,0
WS217,0
WS218,0
WS219,0
WS220,0
WS221,0
WS222,0
WS223,0
WS224,0
WS225,0
WS226,0
WS227,0
WS228,0
WS229,0
WS230,0
WS231,0
WS232,0
WS233,0
WS234,0
WS235,0
WS236,0
WS237,0
WS238,0
WS239,0
WS240,0
WS241,0
WS242,0
WS243,0
WS244,0
WS245,0
WS246,0
WS247,0
WS248,0
WS249,0
WS250,0
WS251,0
WS252,0
WS253,0
WS254,0
WS255,0
WS256,0
WS257,0
WS258,0
WS259,0
WS260,0
WS261,0
WS262,0
WS263,0
WS264,0
WS265,0
WS266,0
WS267,0
WS268,0
WS269,0
WS270,0
WS271,0
WS272,0
WS273,0
WS274,0
WS275,0
WS276,0
WS277,0
WS278,0
WS279,0
WS280,0
WS281,0
WS282,0
WS283,0
WS284,0
WS285,0
WS286,0
WS287,0
WS288,0
WS289,0
WS290,0
WS291,0
WS292,0
WS293,0
WS294,0
WS295,0
WS296,0
WS297,0
WS298,0
WS299,0
WS300,0
WS301,0
WS302,0
WS303,0
WS304,0
WS305,0
WS306,0
WS307,0
WS308,0
WS309,0
WS310,0
WS311,0
WS312,0
WS313,0
WS314,0
WS315,0
WS316,0
WS317,0
WS318,0
WS319,0
WS320,0
WS321,0
WS322,0
WS323,0
WS324,0
WS325,0
WS326,0
WS327,0
WS328,0
WS329,0
WS330,0
WS331,0
WS332,0
WS333,0
WS334,0
WS335,0
WS336,0
WS337,0
WS338,0
WS339,0
WS340,0
WS341,0
WS342,0
WS343,0
WS344,0
WS345,0
WS346,0
WS347,0
WS348,0
WS349,0
WS350,0
WS351,0
WS352,0
WS353,0
WS354,0
WS355,0
WS356,0
WS357,0
